contestSlug,contestTitle,date,problemCount,titleSlug,questionFrontendId,title,difficulty,acRate
weekly-contest-276,Weekly Contest 276,2022-01-16,4,divide-a-string-into-groups-of-size-k,2138,Divide a String Into Groups of Size k,Easy,76.9
weekly-contest-276,Weekly Contest 276,2022-01-16,4,minimum-moves-to-reach-target-score,2139,Minimum Moves to Reach Target Score,Medium,52.6
weekly-contest-276,Weekly Contest 276,2022-01-16,4,solving-questions-with-brainpower,2140,Solving Questions With Brainpower,Medium,60.2
weekly-contest-276,Weekly Contest 276,2022-01-16,4,maximum-running-time-of-n-computers,2141,Maximum Running Time of N Computers,Hard,56.4
weekly-contest-277,Weekly Contest 277,2022-01-23,4,count-elements-with-strictly-smaller-and-greater-elements,2148,Count Elements With Strictly Smaller and Greater Elements ,Easy,60.1
weekly-contest-277,Weekly Contest 277,2022-01-23,4,rearrange-array-elements-by-sign,2149,Rearrange Array Elements by Sign,Medium,84.8
weekly-contest-277,Weekly Contest 277,2022-01-23,4,find-all-lonely-numbers-in-the-array,2150,Find All Lonely Numbers in the Array,Medium,63.7
weekly-contest-277,Weekly Contest 277,2022-01-23,4,maximum-good-people-based-on-statements,2151,Maximum Good People Based on Statements,Hard,52.6
weekly-contest-278,Weekly Contest 278,2022-01-30,4,keep-multiplying-found-values-by-two,2154,Keep Multiplying Found Values by Two,Easy,75.0
weekly-contest-278,Weekly Contest 278,2022-01-30,4,all-divisions-with-the-highest-score-of-a-binary-array,2155,All Divisions With the Highest Score of a Binary Array,Medium,65.7
weekly-contest-278,Weekly Contest 278,2022-01-30,4,find-substring-with-given-hash-value,2156,Find Substring With Given Hash Value,Hard,26.6
weekly-contest-278,Weekly Contest 278,2022-01-30,4,groups-of-strings,2157,Groups of Strings,Hard,28.1
weekly-contest-279,Weekly Contest 279,2022-02-06,4,sort-even-and-odd-indices-independently,2164,Sort Even and Odd Indices Independently,Easy,63.4
weekly-contest-279,Weekly Contest 279,2022-02-06,4,smallest-value-of-the-rearranged-number,2165,Smallest Value of the Rearranged Number,Medium,53.5
weekly-contest-279,Weekly Contest 279,2022-02-06,4,design-bitset,2166,Design Bitset,Medium,32.8
weekly-contest-279,Weekly Contest 279,2022-02-06,4,minimum-time-to-remove-all-cars-containing-illegal-goods,2167,Minimum Time to Remove All Cars Containing Illegal Goods,Hard,42.0
weekly-contest-280,Weekly Contest 280,2022-02-13,4,count-operations-to-obtain-zero,2169,Count Operations to Obtain Zero,Easy,79.8
weekly-contest-280,Weekly Contest 280,2022-02-13,4,minimum-operations-to-make-the-array-alternating,2170,Minimum Operations to Make the Array Alternating,Medium,35.8
